id;murre;lat;lon;klaster
330;lääne;58.85;25.26;2
331;lääne;58.81;25.19;2
332;lääne;58.77;25.22;2
333;lääne;58.73;25.2;2
334;lääne;58.71;25.3;2
335;lääne;58.66;25.29;2
336;lääne;58.62;25.24;2
337;lääne;58.57;25.25;2
338;lääne;58.56;25.16;2
339;lääne;58.43;25.03;2
340;lääne;58.42;24.98;2
341;lääne;58.36;24.97;2
342;lääne;58.33;25.03;2
343;lääne;58.28;25.29;2
344;lääne;58.25;25.26;2
345;lääne;58.23;25.11;2
346;lääne;58.2;25.13;2
347;lääne;58.18;25.08;2
348;lääne;58.15;25.12;2
349;lääne;58.14;25.18;2
350;lääne;58.1;25.1;2
351;lääne;NA;NA;2
352;kesk;58.47;26.72;2
353;kesk;58.45;26.65;2
354;kesk;58.47;26.58;2
355;kesk;58.41;26.47;2
356;kesk;58.4;26.35;2
357;kesk;58.43;26.33;2
358;kesk;58.42;26.19;2
359;kesk;58.36;26.15;2
360;kesk;58.39;26.11;2
361;kesk;58.39;26.1;2
362;kesk;58.4;26.07;2
363;kesk;58.4;26.05;2
364;kesk;58.4;26.03;2
365;kesk;58.4;26.02;2
366;kesk;58.4;26.01;2
367;kesk;58.4;25.99;2
368;kesk;58.4;25.98;2
369;kesk;58.4;26;2
370;kesk;58.35;25.84;2
371;kesk;58.28;25.78;2
372;kesk;58.33;25.7;2
373;kesk;58.3;25.56;2
374;kesk;58.34;25.48;2
375;kesk;58.33;25.34;2
376;kesk;58.28;25.29;2
377;kesk;58.33;25.03;2
378;kesk;58.36;24.97;2
379;kesk;58.42;24.98;2
380;kesk;58.43;25.03;2
381;kesk;58.56;25.16;2
382;kesk;58.57;25.25;2
383;kesk;58.62;25.24;2
384;kesk;58.66;25.29;2
385;kesk;58.71;25.3;2
386;kesk;58.73;25.2;2
387;kesk;58.77;25.22;2
388;kesk;58.81;25.19;2
389;kesk;58.85;25.26;2
390;kesk;58.89;25.19;2
391;kesk;58.85;24.94;2
392;kesk;58.76;24.86;2
393;kesk;58.73;24.78;2
394;kesk;58.75;24.68;2
395;kesk;58.83;24.69;2
396;kesk;58.85;24.59;2
397;kesk;58.92;24.55;2
398;kesk;58.95;24.48;2
399;kesk;58.96;24.56;2
400;kesk;59.03;24.42;2
401;kesk;59;24.3;2
402;kesk;59.03;24.2;2
403;kesk;59.01;24.13;2
404;kesk;59.03;24.1;2
405;kesk;59.07;24.15;2
406;kesk;59.12;24.1;2
407;kesk;59.14;23.99;2
408;kesk;59.12;23.85;2
409;kesk;59.08;23.86;2
410;kesk;59.12;23.74;2
411;kesk;59.08;23.86;2
412;kesk;59.12;23.74;2
413;kesk;59.11;23.64;2
414;kesk;59.15;23.68;2
415;kesk;59.18;23.61;2
416;kesk;59.22;23.59;2
417;kesk;59.24;23.66;2
418;kesk;59.24;23.74;2
419;kesk;59.27;23.73;2
420;kesk;59.27;23.76;2
421;kesk;59.29;23.81;2
422;kesk;59.26;23.94;2
423;kesk;59.28;24;2
424;kesk;59.27;24.08;2
425;kesk;59.32;24.11;2
426;kesk;59.36;24.03;2
427;kesk;59.39;24.03;2
428;kesk;59.37;24.13;2
429;kesk;59.33;24.21;2
430;kesk;59.37;24.23;2
431;kesk;59.4;24.19;2
432;kesk;59.4;24.24;2
433;kesk;59.42;24.35;2
434;kesk;59.46;24.34;2
435;kesk;59.47;24.42;2
436;kesk;59.44;24.53;2
437;kesk;59.46;24.58;2
438;kesk;59.43;24.67;2
439;kesk;59.47;24.69;2
440;kesk;59.43;24.81;2
441;kesk;59.46;24.82;2
442;kesk;59.45;25.23;2
443;kesk;59.56;25.86;2
444;kesk;59.51;26.32;2
445;kesk;59.44;26.45;2
446;kesk;59.46;26.48;2
447;kesk;59.23;26.75;2
448;kesk;59.26;26.83;2
449;kesk;59.23;26.82;2
450;kesk;59.21;26.91;2
451;kesk;59.16;26.92;2
452;kesk;59.16;26.99;2
453;kesk;59.16;26.9;2
454;kesk;59.12;26.85;2
455;kesk;59.08;26.89;2
456;kesk;59.03;26.8;2
457;kesk;58.98;26.79;2
458;kesk;58.94;26.58;2
459;kesk;58.86;26.53;2
460;kesk;58.83;26.43;2
461;kesk;58.76;26.39;2
462;kesk;58.7;26.43;2
463;kesk;58.69;26.37;2
464;kesk;58.62;26.44;2
465;kesk;58.61;26.52;2
466;kesk;58.57;26.56;2
467;kesk;58.54;26.66;2
468;kesk;58.47;26.72;2
469;kesk;NA;NA;2
470;mulgi;57.85;26;1
471;mulgi;57.85;25.96;1
472;mulgi;57.87;25.9;1
473;mulgi;57.84;25.81;1
474;mulgi;57.91;25.77;1
475;mulgi;57.93;25.72;1
476;mulgi;57.9;25.67;1
477;mulgi;57.94;25.58;1
478;mulgi;57.98;25.57;1
479;mulgi;57.97;25.55;1
480;mulgi;57.98;25.5;1
481;mulgi;57.98;25.46;1
482;mulgi;57.99;25.44;1
483;mulgi;58.01;25.45;1
484;mulgi;58.03;25.39;1
485;mulgi;58.03;25.35;1
486;mulgi;58.08;25.28;1
487;mulgi;58.07;25.26;1
488;mulgi;58.03;25.29;1
489;mulgi;58;25.29;1
490;mulgi;58;25.25;1
491;mulgi;58.09;25.19;1
492;mulgi;58.1;25.1;1
493;mulgi;58.1;25.1;1
494;mulgi;58.14;25.18;1
495;mulgi;58.15;25.12;1
496;mulgi;58.18;25.08;1
497;mulgi;58.2;25.13;1
498;mulgi;58.23;25.11;1
499;mulgi;58.25;25.26;1
500;mulgi;58.28;25.29;1
501;mulgi;58.33;25.34;1
502;mulgi;58.34;25.48;1
503;mulgi;58.3;25.56;1
504;mulgi;58.33;25.7;1
505;mulgi;58.28;25.78;1
506;mulgi;58.35;25.84;1
507;mulgi;58.4;25.99;1
508;mulgi;58.4;25.98;1
509;mulgi;58.4;25.97;1
510;mulgi;58.39;25.98;1
511;mulgi;58.39;25.97;1
512;mulgi;58.39;25.96;1
513;mulgi;58.38;25.96;1
514;mulgi;58.37;25.96;1
515;mulgi;58.36;25.96;1
516;mulgi;58.35;25.96;1
517;mulgi;58.34;25.96;1
518;mulgi;58.34;25.95;1
519;mulgi;58.34;25.94;1
520;mulgi;58.33;25.93;1
521;mulgi;58.33;25.92;1
522;mulgi;58.32;25.92;1
523;mulgi;58.31;25.91;1
524;mulgi;58.3;25.91;1
525;mulgi;58.29;25.91;1
526;mulgi;58.27;25.93;1
527;mulgi;58.27;25.94;1
528;mulgi;58.26;25.95;1
529;mulgi;58.25;25.96;1
530;mulgi;58.24;25.98;1
531;mulgi;58.23;25.99;1
532;mulgi;58.23;25.98;1
533;mulgi;58.22;25.98;1
534;mulgi;58.21;25.98;1
535;mulgi;58.21;25.99;1
536;mulgi;58.2;25.99;1
537;mulgi;58.19;26;1
538;mulgi;58.18;26.01;1
539;mulgi;58.19;26.01;1
540;mulgi;58.18;26.02;1
541;mulgi;58.19;26.02;1
542;mulgi;58.18;26.03;1
543;mulgi;58.17;26.04;1
544;mulgi;58.17;26.03;1
545;mulgi;58.15;26.03;1
546;mulgi;58.15;26.04;1
547;mulgi;58.15;26.05;1
548;mulgi;58.14;26.04;1
549;mulgi;58.13;26.04;1
550;mulgi;58.12;26.05;1
551;mulgi;58.11;26.06;1
552;mulgi;58.11;26.05;1
553;mulgi;58.11;26.05;1
554;mulgi;58.1;26.05;1
555;mulgi;58.1;26.06;1
556;mulgi;58.09;26.06;1
557;mulgi;57.98;26.05;1
558;mulgi;57.85;26;1
559;mulgi;NA;NA;1
560;lääne;58.95;23.31;2
