murre;lat;lon
lääne;58.98;23.21
lääne;58.96;23.21
lääne;58.97;23.18
lääne;58.96;23.18
lääne;58.96;23.17
lääne;58.95;23.16
lääne;58.96;23.15
lääne;58.97;23.15
lääne;58.97;23.16
lääne;59.01;23.11
lääne;59.02;23.11
lääne;59.03;23.12
lääne;59.03;23.12
lääne;59.05;23.16
lääne;59.03;23.24
lääne;59.02;23.24
lääne;59.02;23.26
lääne;59.02;23.28
lääne;59.03;23.3
lääne;59.02;23.31
lääne;59.03;23.32
lääne;58.98;23.38
lääne;58.97;23.37
lääne;58.98;23.33
lääne;58.97;23.32
lääne;58.97;23.28
lääne;58.96;23.29
lääne;58.95;23.31
lääne;NA;NA
saarte;59;22.7
saarte;58.99;22.8
saarte;59;22.84
saarte;58.97;22.91
saarte;58.95;22.94
saarte;58.94;22.94
saarte;58.91;22.98
saarte;58.88;23.02
saarte;58.83;23.07
saarte;58.82;23.03
saarte;58.84;22.98
saarte;58.84;22.94
saarte;58.83;22.91
saarte;58.8;22.86
saarte;58.77;22.81
saarte;58.79;22.75
saarte;58.8;22.73
saarte;58.77;22.7
saarte;58.77;22.72
saarte;58.72;22.68
saarte;58.69;22.65
saarte;58.69;22.57
saarte;58.71;22.49
saarte;58.72;22.47
saarte;58.73;22.5
saarte;58.75;22.46
saarte;58.77;22.47
saarte;58.79;22.44
saarte;58.8;22.45
saarte;58.85;22.43
saarte;58.89;22.37
saarte;58.89;22.32
saarte;58.88;22.31
saarte;58.89;22.27
saarte;58.88;22.24
saarte;58.87;22.19
saarte;58.89;22.14
saarte;58.9;22.12
saarte;58.92;22.04
saarte;58.94;22.05
saarte;58.94;22.08
saarte;58.94;22.14
saarte;58.93;22.23
saarte;58.94;22.27
saarte;58.95;22.32
saarte;58.93;22.39
saarte;58.96;22.41
saarte;58.96;22.46
saarte;58.99;22.43
saarte;58.99;22.46
saarte;58.98;22.49
saarte;59;22.49
saarte;59;22.48
saarte;59.02;22.48
saarte;59.03;22.52
saarte;59.09;22.57
saarte;59.08;22.58
saarte;59.08;22.61
saarte;59.07;22.69
saarte;59.01;22.69
saarte;59;22.7
saarte;NA;NA
saarte;58.24;22.46
saarte;58.21;22.42
saarte;58.21;22.32
saarte;58.18;22.25
saarte;58.13;22.26
saarte;58.09;22.25
saarte;58.07;22.22
saarte;58.05;22.22
saarte;58.01;22.18
saarte;57.98;22.19
saarte;57.92;22.06
saarte;57.91;22.02
saarte;57.95;21.98
saarte;57.98;21.99
saarte;57.98;22.02
saarte;58.03;22.05
saarte;58.09;22.1
saarte;58.06;22.16
saarte;58.11;22.18
saarte;58.14;22.22
saarte;58.15;22.19
saarte;58.18;22.07
saarte;58.25;21.98
saarte;58.22;22
saarte;58.31;21.82
saarte;58.3;21.89
saarte;58.35;21.99
saarte;58.46;21.89
saarte;58.51;21.91
saarte;58.5;22
saarte;58.41;22.08
saarte;58.42;22.11
saarte;58.5;22.13
saarte;58.51;22.2
saarte;58.55;22.2
saarte;58.53;22.23
saarte;58.48;22.25
saarte;58.49;22.3
saarte;58.57;22.29
saarte;58.58;22.48
saarte;58.64;22.54
saarte;58.58;22.62
saarte;58.6;22.69
saarte;58.58;22.74
saarte;58.63;22.79
saarte;58.61;22.94
saarte;58.55;23.13
saarte;58.51;23.15
saarte;58.44;23.31
saarte;58.43;23.22
saarte;58.45;23.15
saarte;58.39;23.07
saarte;58.35;23.03
saarte;58.37;22.95
saarte;58.3;22.92
saarte;58.3;22.84
saarte;58.26;22.81
saarte;58.27;22.71
saarte;58.25;22.7
saarte;58.22;22.74
saarte;58.21;22.7
saarte;58.24;22.62
saarte;58.2;22.58
saarte;58.24;22.53
saarte;58.21;22.5
saarte;58.24;22.46
saarte;NA;NA
saarte;58.57;23.39
saarte;58.54;23.39
saarte;58.53;23.37
saarte;58.51;23.38
saarte;58.5;23.36
saarte;58.51;23.34
saarte;58.52;23.35
saarte;58.53;23.33
saarte;58.54;23.32
saarte;58.53;23.3
saarte;58.54;23.26
saarte;58.52;23.23
saarte;58.54;23.19
saarte;58.54;23.19
saarte;58.57;23.14
saarte;58.57;23.12
saarte;58.6;23.06
saarte;58.62;23.08
saarte;58.62;23.13
saarte;58.63;23.14
saarte;58.67;23.13
saarte;58.68;23.18
saarte;58.65;23.31
saarte;58.64;23.35
saarte;58.62;23.35
saarte;58.61;23.34
saarte;58.58;23.37
saarte;58.57;23.39
saarte;NA;NA
saarte;58.13;24
saarte;58.12;24.01
saarte;58.12;24
saarte;58.11;24
saarte;58.11;23.99
saarte;58.1;23.99
saarte;58.1;23.97
saarte;58.09;23.97
saarte;58.11;23.95
saarte;58.13;23.95
saarte;58.15;23.96
saarte;58.15;24.01
saarte;58.15;24.02
saarte;58.14;24.01
saarte;58.13;24.01
saarte;58.13;24
saarte;NA;NA
saarte;57.82;23.23
saarte;57.81;23.26
saarte;57.8;23.27
saarte;57.79;23.27
saarte;57.78;23.26
saarte;57.78;23.23
saarte;57.78;23.21
saarte;57.79;23.21
saarte;57.8;23.21
saarte;57.81;23.22
saarte;57.81;23.21
saarte;57.82;23.21
saarte;57.82;23.23
